B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,OM [%]
1954.0,1882.0,1754.0,1963.0,1933.0,2161.0,2154.0,2031.0,2210.0,842.0,14.0,2023.0,1599.0,2.4
1433.0,1003.0,650.0,396.0,523.0,620.0,688.0,447.0,708.0,131.0,14.0,432.0,299.0,1.5
1547.0,1615.0,1836.0,2287.0,2340.0,2504.0,2689.0,2605.0,2752.0,1015.0,14.0,2959.0,2297.0,1.7
1822.0,996.0,720.0,425.0,474.0,448.0,453.0,227.0,438.0,428.0,14.0,326.0,189.0,0.7
2643.0,2439.0,2305.0,2394.0,2480.0,2930.0,3153.0,2813.0,3197.0,853.0,10.0,1189.0,633.0,3.4
1970.0,1690.0,1729.0,2370.0,2451.0,2616.0,2793.0,2634.0,2812.0,781.0,14.0,2789.0,2293.0,1.4
1134.0,777.0,481.0,272.0,269.0,289.0,302.0,266.0,297.0,153.0,12.0,208.0,98.0,10.4
1311.0,1096.0,1161.0,1608.0,1709.0,1894.0,2096.0,1950.0,2243.0,718.0,13.0,3015.0,2051.0,1.7
1299.0,1037.0,983.0,1451.0,1608.0,1777.0,1893.0,1679.0,1964.0,527.0,13.0,2086.0,1675.0,1.5
1279.0,1022.0,933.0,1338.0,1417.0,1585.0,1714.0,1606.0,1772.0,477.0,13.0,2280.0,1895.0,1.2
1264.0,1055.0,1044.0,1549.0,1618.0,1799.0,1957.0,1746.0,2031.0,576.0,13.0,2646.0,2130.0,1.5
1452.0,1357.0,1238.0,1307.0,1426.0,1675.0,1816.0,1587.0,2095.0,608.0,13.0,2620.0,1842.0,1.2
1887.0,2256.0,2538.0,2968.0,2761.0,3001.0,3225.0,3286.0,3377.0,669.0,17.0,3657.0,2886.0,1.5
2015.0,2247.0,2312.0,2834.0,2749.0,2964.0,3060.0,2802.0,2972.0,557.0,13.0,2695.0,1896.0,1.7
1599.0,1304.0,1411.0,1546.0,1597.0,1456.0,1606.0,1309.0,1370.0,261.0,9.0,415.0,219.0,5.1
1252.0,869.0,738.0,427.0,584.0,857.0,997.0,434.0,976.0,505.0,9.0,419.0,246.0,7.9
2030.0,2432.0,2491.0,2785.0,2852.0,2847.0,3250.0,2991.0,3220.0,810.0,16.0,3665.0,3150.0,0.9
1462.0,1624.0,1631.0,2009.0,1961.0,2165.0,2238.0,2201.0,2328.0,774.0,14.0,2828.0,2021.0,1.2
1480.0,1344.0,1355.0,1544.0,1619.0,1745.0,1903.0,1596.0,2020.0,837.0,16.0,2291.0,1853.0,1.0
1340.0,1399.0,1449.0,1648.0,1571.0,1753.0,1888.0,1818.0,2017.0,775.0,14.0,2145.0,1551.0,1.6
1472.0,1277.0,1251.0,1128.0,1316.0,1394.0,1529.0,1020.0,1572.0,354.0,12.0,1292.0,1012.0,1.8
1323.0,1363.0,1350.0,1490.0,1457.0,1693.0,1910.0,1749.0,2022.0,563.0,10.0,1940.0,1447.0,2.4
2476.0,2872.0,3293.0,4052.0,4129.0,4501.0,4833.0,4626.0,5173.0,1913.0,24.0,5696.0,4493.0,1.0
1938.0,2164.0,2339.0,2619.0,2647.0,2974.0,3136.0,3184.0,3176.0,1244.0,19.0,2812.0,2224.0,8.4
1662.0,1658.0,1806.0,2167.0,2213.0,2444.0,2532.0,2452.0,2480.0,907.0,13.0,2755.0,2518.0,1.1
1415.0,1398.0,1594.0,2211.0,2353.0,2645.0,2816.0,2602.0,2818.0,902.0,14.0,2679.0,2196.0,3.0
2351.0,3186.0,3093.0,3244.0,3094.0,3416.0,3640.0,3583.0,3681.0,973.0,13.0,2816.0,1935.0,1.4
1232.0,1254.0,1515.0,2167.0,2262.0,2526.0,2706.0,2574.0,2692.0,909.0,11.0,3525.0,2731.0,2.2
1191.0,863.0,697.0,312.0,283.0,293.0,294.0,254.0,252.0,126.0,8.0,103.0,69.0,3.4
1628.0,1503.0,1573.0,1981.0,2215.0,2342.0,2451.0,2091.0,2291.0,505.0,13.0,2673.0,2253.0,3.9
1749.0,1683.0,1742.0,2045.0,2178.0,2235.0,2346.0,2085.0,2430.0,612.0,12.0,2782.0,2356.0,2.5
1918.0,1899.0,2122.0,2694.0,2794.0,3010.0,3324.0,3290.0,3672.0,876.0,18.0,4497.0,4055.0,1.5
8461.0,6623.0,6352.0,6591.0,7939.0,7918.0,7722.0,6432.0,7492.0,3036.0,10.0,1079.0,748.0,4.5
5565.0,4686.0,4448.0,4728.0,4818.0,5243.0,4634.0,4450.0,4578.0,1951.0,10.0,730.0,458.0,13.6
5635.0,5114.0,4623.0,4407.0,4271.0,4190.0,3863.0,3704.0,3608.0,1628.0,9.0,121.0,107.0,53.3
9562.0,8673.0,8342.0,8837.0,8252.0,8048.0,7824.0,7763.0,7789.0,3398.0,13.0,772.0,643.0,8.5
5696.0,5623.0,5497.0,5695.0,5509.0,5379.0,5160.0,4818.0,4819.0,1832.0,11.0,109.0,98.0,21.6
1672.0,1441.0,1369.0,1318.0,1260.0,1342.0,1416.0,1241.0,1453.0,386.0,16.0,1244.0,1023.0,6.0
1838.0,1958.0,1973.0,2150.0,1928.0,2188.0,2292.0,2298.0,2414.0,870.0,15.0,2413.0,1944.0,1.1
1133.0,952.0,935.0,987.0,994.0,1038.0,1078.0,988.0,975.0,537.0,23.0,921.0,705.0,27.7
1546.0,1583.0,1550.0,1776.0,1723.0,1914.0,2156.0,1972.0,2235.0,782.0,17.0,2403.0,1824.0,1.8
1451.0,1274.0,1443.0,2078.0,2182.0,2381.0,2546.0,2474.0,2645.0,860.0,18.0,3279.0,2380.0,3.4
1592.0,1575.0,1786.0,2382.0,2550.0,2656.0,2948.0,2768.0,3087.0,823.0,16.0,3635.0,2771.0,0.7
1958.0,1865.0,1933.0,2169.0,2088.0,2455.0,2554.0,2635.0,2715.0,826.0,18.0,3218.0,2425.0,0.8
2195.0,2016.0,2103.0,2325.0,2566.0,2609.0,2829.0,2777.0,3115.0,821.0,14.0,3168.0,2563.0,1.9
2401.0,2391.0,2655.0,3312.0,3508.0,3739.0,3992.0,3679.0,4142.0,1149.0,19.0,4542.0,3636.0,1.4
2181.0,2278.0,2566.0,3170.0,3321.0,3671.0,3906.0,3867.0,4202.0,1532.0,22.0,5131.0,4102.0,1.4
2080.0,2203.0,2346.0,2571.0,2574.0,2766.0,2879.0,2745.0,2922.0,729.0,15.0,2831.0,1873.0,1.7
2210.0,2066.0,1951.0,2118.0,2195.0,2494.0,2618.0,2362.0,2743.0,840.0,13.0,2303.0,1427.0,1.6
1756.0,1441.0,1267.0,1288.0,1483.0,1575.0,1629.0,1329.0,1648.0,509.0,13.0,1936.0,1609.0,1.7
1653.0,1721.0,1696.0,1761.0,1896.0,2111.0,2198.0,2049.0,2265.0,761.0,10.0,1936.0,1585.0,1.1
