,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,B1dx,B2dx,B3dx,B4dx,B5dx,B6dx,B7dx,B8dx,B9dx,B10dx,B11dx,B12dx,B1dx2,B2dx2,B3dx2,B4dx2,B5dx2,B6dx2,B7dx2,B8dx2,B9dx2,B10dx2,B11dx2,B1cr,B2cr,B3cr,B4cr,B5cr,B6cr,B7cr,B8cr,B9cr,B10cr,B11cr,B12cr,Ca [mg/kg]
134,36.8006,-5.6168,0.0743875278396436,1410.0,1101.0,912.0,1039.0,1086.0,1186.0,1296.0,1206.0,1386.0,480.0,13.0,2097.0,1650.0,-6217303822.937622,-2804154302.670624,1211832061.0687032,1189873417.721519,2747252747.252741,2600472813.2387705,-1800000000.000002,5642633228.840132,-11268656716.41791,-1090102707.7497663,8676103247.293928,-759300152.8792255,6.8675040649235336e+16,5.958436741453009e+16,-209529039572368.28,3.9427324798258776e+16,-4032415769614561.0,-1.040300901474887e+17,1.4885266457680285e+17,-5.301344810425725e+17,1.2659893045607144e+17,2.2796932668169212e+16,-3.928144629547527e+16,1.0,0.7650307173298933,0.6167579630756747,0.6745947850892068,0.6946587077082007,0.7484006292832251,0.8052044009665533,0.7358759824287181,0.8361596765418665,0.2815666986665256,0.006645945183241756,1.0,380.0
135,36.5173,-6.0502,0.0941362916006339,1667.0,1473.0,1296.0,1429.0,1325.0,1528.0,1590.0,1726.0,1810.0,646.0,14.0,2611.0,2013.0,-3903420523.1388307,-2626112759.6439176,1269083969.4656496,-2632911392.405063,5576923076.923063,1465721040.1891253,2720000000.000003,2633228840.125395,-14477611940.298506,-1475256769.374416,10811823480.43298,-1015797519.9592322,2.5700357414384556e+16,5.779223633693722e+16,-3.72327801705221e+16,2.0784391061590192e+17,-1.1294511089928374e+17,2.965198486550538e+16,-1735423197492162.8,-5.3638999311673734e+17,1.6172083545925485e+17,2.868132644679597e+16,-4.9240720234771944e+16,1.0,0.8628842459065748,0.7357783581242193,0.7741546661425935,0.7056402924734217,0.8012286693209979,0.819093160150444,0.8710667025124299,0.9017560653924289,0.3117746997039883,0.005791434456427915,1.0,5580.0
136,36.2339,-5.8335,0.122976231484671,1510.0,1230.0,1094.0,1273.0,1342.0,1530.0,1734.0,1630.0,1871.0,614.0,18.0,2747.0,2197.0,-5633802816.901405,-2017804154.3026712,1708015267.1755736,1746835443.0379746,5164835164.835153,4822695035.460993,-2080000000.0000024,7554858934.169288,-15634328358.208954,-1391223155.929038,11361365528.726068,-934261933.0728725,7.275651232593022e+16,5.527921990323807e+16,370421525404590.0,8.653163852651083e+16,-9399454103685686.0,-1.6318427979813226e+17,1.9269717868338602e+17,-7.269337709209489e+17,1.7715304977960093e+17,2.9767947443172508e+16,-5.118912348792235e+16,1.0,0.7871993976680953,0.6696455897655629,0.7297609933282919,0.7513438044240434,0.8385470183637599,0.9276354750760615,0.8480366019764757,0.9566492185917185,0.3008747451749582,0.007219458382380986,1.0,5260.0
137,40.6174,-0.1332,0.1038447718289615,3732.0,3965.0,3916.0,3741.0,3787.0,3942.0,3948.0,4608.0,3966.0,1992.0,106.0,3564.0,2463.0,4688128772.635812,-727002967.3590506,-1669847328.2442758,1164556962.0253165,4258241758.241748,141843971.63120568,13200000000.000015,-20125391849.529804,-24552238805.970146,-4402427637.721754,14396336386.344723,-1870222524.2058775,-1.0895637303812595e+17,-1.3988788737169516e+16,2.7045842464404524e+16,7.832113408142864e+16,-1.1308785128050914e+17,3.087034522073004e+17,-6.665078369905971e+17,-1.3877263186333378e+17,2.5061954189363667e+17,4.3881335256924536e+16,-6.772089471503169e+16,1.0,1.0,0.95691546492875,0.8719714852795509,0.8676045933491725,0.8891095187741066,0.8746990718382269,1.0,0.8687171880064748,0.4468507784505447,0.02728352886407064,1.0,1120.0
138,39.4451,-4.887,0.110455467453439,1376.0,1450.0,1635.0,2412.0,2645.0,2868.0,3076.0,3011.0,3297.0,1296.0,15.0,3910.0,2858.0,1488933601.609657,2744807121.6617217,7414122137.404585,5898734177.215189,6126373626.373611,4917257683.21513,-1300000000.0000014,8965517241.379322,-24888059701.492535,-2990196078.4313717,16215653621.981693,-1786988279.259385,2.5269084910504304e+16,6.927767085671905e+16,-1.4459808780433176e+16,5763024029327151.0,-3.321747096589227e+16,-1.4698008707364378e+17,2.0531034482758672e+17,-1.0612406565163604e+18,2.7236148784901946e+17,4.48315819337373e+16,-7.49485507961744e+16,1.0,0.8923073235285122,0.8330447606957224,0.9695564917804959,0.9848701195426354,1.0,1.0,0.9377372854544016,1.0,0.3853929717665774,0.00403940910078331,1.0,600.0
139,39.4465,-4.7801,0.1389048991354466,1253.0,1097.0,1166.0,1494.0,1616.0,1807.0,1968.0,1976.0,2146.0,923.0,15.0,3486.0,2647.0,-3138832997.987926,1023738872.4035611,3129770992.366414,3088607594.9367085,5247252747.252734,3806146572.1040187,160000000.00000018,5329153605.01568,-15211442786.06965,-2119514472.4556484,14450457951.70692,-1425174112.4511638,8.375396117487898e+16,3.124676735849931e+16,-392780509825435.56,5.464924436243102e+16,-3.9590828987601976e+16,-8.61973184894567e+16,1.0338307210031373e+17,-6.439058429807322e+17,1.6283492927380598e+17,3.8678740485907016e+16,-6.609338910973395e+16,1.0,0.8077039773838559,0.7769205712667978,0.8673109259072526,0.8947197585083735,0.9595478251328109,0.997622391919616,0.9506874331409663,1.0,0.40308496930190246,0.00490794383582349,1.0,500.0
140,39.3507,-2.9333,0.1103783953524886,1557.0,1879.0,2102.0,2833.0,2722.0,3200.0,3485.0,3536.0,3645.0,1480.0,21.0,4280.0,3537.0,6478873239.436616,3308605341.2462916,6975190839.694661,-2810126582.278481,13131868131.868101,6737588652.482269,1020000000.0000011,3416927899.6865244,-26927860696.51741,-3405695611.577964,17731057452.12324,-1262102938.6784441,-6.3788086482702664e+16,5.440037831525772e+16,-9.337134944630867e+16,4.035948028897868e+17,-1.756670186644455e+17,-1.3516758043693306e+17,4.793855799373052e+16,-9.512472914170524e+17,2.925642423499931e+17,4.933882601237442e+16,-7.907227473272981e+16,1.0,1.0,0.9332264915947213,1.0,0.892200149411588,0.9841096882663964,1.0,0.9869706207622823,1.0,0.39858203000979087,0.0051516559876824035,1.0,900.0
141,39.2673,-3.7334,0.1754143646408839,1475.0,1557.0,1698.0,2388.0,2736.0,3090.0,3453.0,3404.0,3945.0,1355.0,18.0,4243.0,2661.0,1649899396.3782687,2091988130.563799,6583969465.648859,8810126582.27848,9725274725.274702,8581560283.6879425,-980000000.0000011,16959247648.902842,-32213930348.258705,-3120915032.6797376,17589508742.714417,-2687277051.1296077,8895145557052916.0,6.664660734547569e+16,2.124195721974831e+16,2.316830741762586e+16,-3.142072641721859e+16,-2.260416142715826e+17,3.587849529780573e+17,-1.541478934080301e+18,3.618534243231215e+17,4.834365960642892e+16,-8.441626059052472e+16,1.0,0.8817043272424245,0.7859671137133687,0.8609132684574595,0.9104839650881471,0.9602095998868938,0.9963548643176702,0.9057318519518006,1.0,0.34071008373203887,0.004340033827927219,1.0,560.0
142,39.2673,-3.4334,0.15625,1619.0,1445.0,1517.0,2025.0,2351.0,2635.0,2848.0,2775.0,3251.0,1349.0,21.0,4234.0,3105.0,-3501006036.217302,1068249258.1602377,4847328244.274813,8253164556.962025,7802197802.197783,5035460992.907802,-1460000000.0000017,14921630094.043905,-23656716417.910446,-3099906629.318393,17539550374.68777,-1917784949.8895874,9.193672624502086e+16,5.606942115896997e+16,3.249843809816044e+16,-1.1416879867449144e+16,-7.600925300247184e+16,-1.5355699746826957e+17,3.276326018808785e+17,-1.2093525552336801e+18,2.5568171378845834e+17,4.817800421103212e+16,-8.10047265802555e+16,1.0,0.7978115166203428,0.7321920951151814,0.8174705182565067,0.8939463128708474,0.9510295514748368,0.9705997409916419,0.8872523868418891,1.0,0.40190455794480273,0.005358841359148532,1.0,3520.0
143,39.3173,-3.1833,0.1403695052028031,1462.0,1392.0,1524.0,2024.0,2151.0,2519.0,2759.0,2685.0,2877.0,1055.0,20.0,3620.0,3017.0,-1408450704.2253513,1958456973.2937691,4770992366.412217,3215189873.4177213,10109890109.890085,5673758865.248227,-1480000000.0000017,6018808777.429475,-22661691542.288555,-2415966386.554621,14987510407.99335,-1024290810.2598947,6.774462127805067e+16,4.172901176733604e+16,-1.4845443635443672e+16,1.7454937307524973e+17,-1.2187173749016064e+17,-1.6911959492312598e+17,1.499761755485897e+17,-8.990752451322277e+17,2.518125019369892e+17,4.062436226551813e+16,-6.666028816924753e+16,1.0,0.8428521858522298,0.7985032927651601,0.8768607079597545,0.8747917518672378,0.9697094239913213,1.0,0.9484150277255315,1.0,0.3568099704408477,0.00591414291080217,1.0,2540.0
