B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,pH
1541,1452,1691,2556,2699,2900,3122,3082,3390,1070,19,4322,3539,7.7
1886,1907,2350,3349,3493,3784,4017,3820,4203,1147,20,5215,3836,8.4
1452,1302,1467,2365,2638,2912,3092,2888,3289,1011,19,3998,2996,6.7
2003,2057,2330,3085,3229,3637,4015,3767,4225,1250,20,4637,3451,7.9
1778,1570,1494,1608,1782,1998,2209,1928,2291,643,15,2461,2093,7.6
1905,1913,1958,2280,2319,2536,2700,2492,2773,779,17,3520,2806,8.4
2780,2127,2261,2547,2378,2604,2830,2922,3132,1145,17,3997,3221,6.9
1663,1423,1589,2083,2414,2704,2892,2390,3132,895,15,3604,2961,6.3
1503,1526,1940,2772,2895,3200,3400,3353,3516,1107,17,4378,3714,5.9
1502,1575,1824,2403,2137,2487,2801,2768,2930,970,15,2945,2087,8.1
1127,799,568,320,302,382,414,338,435,356,8,155,71,4.5
2027,3135,4295,4946,5066,5018,5161,4828,5292,1244,15,4960,4465,5.3
1224,1043,873,431,375,335,322,285,284,112,8,166,130,7.1
1314,1391,1334,1478,1347,1421,1569,1576,1535,575,12,1789,1613,7.2
1460,1739,2129,3052,2832,3143,3302,3718,3504,1205,19,4028,3445,7.1
1562,1547,1725,2162,2230,2379,2637,2632,2921,892,18,4085,3089,4.8
1413,1293,1091,888,837,846,868,846,847,273,13,707,537,6.7
1531,1501,1628,2063,2159,2369,2577,2514,2818,754,18,3852,3158,5.8
1669,1649,1804,2232,2328,2489,2745,2634,3023,805,16,3901,2846,5.5
1859,2196,2501,3177,3389,3744,3926,3752,4165,1373,19,4214,3562,7.4
1489,1515,1811,2556,2666,2875,3054,2934,3081,1244,19,3739,2989,7.6
1743,1883,1891,2158,2028,2231,2305,2365,2401,975,15,2523,2030,7.2
1630,1955,2006,2225,2141,2452,2478,2644,2611,984,14,2623,2113,7.6
1431,1658,1748,1901,1931,2136,2241,2286,2484,1077,16,3601,2817,4.2
1627,1588,1570,1983,1939,2300,2519,2381,2516,701,14,2801,2229,6.9
1718,1629,1641,1925,1858,2129,2343,2007,2458,1022,18,2739,2118,7.9
1330,1332,1451,1853,2057,2235,2397,2230,2483,873,11,2612,2192,5.8
1721,1717,1779,2150,2261,2633,2875,2505,3000,704,15,3109,2448,6.55
2740,3872,4191,4755,4504,4938,5264,5192,5455,1606,16,4735,3859,8.7
2165,2161,2439,2929,2966,3243,3370,3440,3682,1371,20,3954,3391,8.7
1867,2216,2652,3389,3103,3374,3573,3845,3702,1339,19,3833,3110,8.8
1844,2301,2791,3751,3555,3869,4061,4176,4112,1357,19,3993,3331,8.5
1844,2022,2402,3101,2980,3282,3483,3555,3623,1357,19,3630,2933,8.2
1458,1089,757,555,516,491,472,413,450,143,8,298,229,7.9
1440,1162,817,602,541,533,524,488,507,142,10,347,253,7.5
1843,2432,2571,2931,2394,2852,3170,3482,3326,731,16,3065,2161,8.1
1919,1836,1959,2536,2685,2998,3140,2894,3206,851,14,3046,2337,8.1
1440,1162,817,602,541,533,524,488,507,142,10,347,253,7.6
1944,1835,1929,2147,2187,2370,2578,2319,2576,570,14,2361,1829,8
1631,1310,1122,1057,1208,1177,1284,1075,1252,252,11,673,373,8.3
1583,1275,1065,698,620,354,288,253,214,80,11,60,34,7.3
1631,1310,1122,1057,1208,1177,1284,1075,1252,252,11,673,373,8
1954,2115,2326,2691,2795,2948,3131,2713,3193,838,17,3651,3324,7.9
1780,1713,1867,2380,2625,2945,3057,2751,3110,928,16,3203,2677,7.9
1594,1664,1747,1972,1964,2146,2339,2270,2487,714,15,2860,2087,8.6
1800,1698,1788,2175,2129,2365,2610,2523,2754,875,17,3201,2356,8
1752,1761,1896,2127,2180,2417,2579,2509,2583,890,16,2187,1760,8
