,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,pH
312,38.5506,-6.2835,0.09070796460176991,1263.0,1002.0,903.0,1233.0,1217.0,1358.0,1477.0,1479.0,1569.0,709.0,8.0,2058.0,1644.0,7.7
313,38.6506,-5.7335,0.16339869281045752,1325.0,1084.0,1065.0,1344.0,1555.0,1911.0,2146.0,1869.0,2277.0,988.0,15.0,2897.0,2293.0,7.3
314,38.6173,-6.7669,0.15787504676393566,1375.0,1515.0,1644.0,2251.0,2218.0,2589.0,2970.0,3095.0,3286.0,822.0,15.0,3215.0,2056.0,6.4
315,38.234,-7.0835,0.12003511081852096,1365.0,1304.0,1435.0,2005.0,2117.0,2409.0,2671.0,2552.0,2874.0,738.0,15.0,3580.0,2497.0,5.8
316,38.284,-7.0002,0.17969878275221787,1472.0,1354.0,1477.0,1988.0,2249.0,2630.0,3010.0,2859.0,3303.0,804.0,15.0,3868.0,2863.0,5.3
317,38.284,-5.7168,0.16410998552821998,1395.0,1212.0,1209.0,1444.0,1719.0,2004.0,2151.0,2011.0,2294.0,1127.0,15.0,2796.0,2300.0,7.7
318,41.7007,1.8003,0.13994169096209913,1569.0,1278.0,1187.0,1475.0,1640.0,1900.0,2030.0,1955.0,2204.0,842.0,12.0,2343.0,2112.0,7.4
319,41.428000000000004,1.6749,0.11972753471312549,1758.0,1535.0,1447.0,1680.0,1829.0,2016.0,2217.0,2137.0,2444.0,694.0,18.0,3128.0,2391.0,7.7
320,41.3889,1.9305,0.18761253150882248,1501.0,1130.0,1049.0,1128.0,1637.0,1975.0,2205.0,1649.0,2292.0,753.0,12.0,2082.0,1742.0,7.5
321,41.7674,-3.8,0.17935871743486975,1762.0,1765.0,1966.0,2457.0,2556.0,3217.0,3453.0,3531.0,3714.0,1836.0,26.0,4445.0,3527.0,7.6
322,41.7841,-3.6334,0.15775401069518716,1417.0,1413.0,1624.0,2205.0,2357.0,2697.0,2878.0,3031.0,3056.0,1494.0,22.0,3636.0,3096.0,7.2
323,41.7174,-3.6834,0.1501145912910619,1431.0,1385.0,1577.0,2225.0,2452.0,2774.0,2956.0,3011.0,3190.0,1556.0,26.0,3920.0,3381.0,7.5
324,41.7007,-3.45,0.18053231939163497,1744.0,1795.0,2048.0,2694.0,2738.0,3341.0,3694.0,3881.0,3957.0,1867.0,28.0,4403.0,3591.0,8.7
