,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,Ca [mg/kg]
0,43.2764,-2.0256,0.036946564885496185,2179.0,1743.0,1467.0,1577.0,2171.0,2217.0,2312.0,1698.0,2209.0,957.0,12.0,1791.0,1227.0,1770.0
1,43.1697,-2.3242,0.03577882182869534,1410.0,1449.0,1335.0,1334.0,1534.0,1764.0,1737.0,1433.0,1826.0,664.0,9.0,1530.0,1440.0,2500.0
2,43.3342,-5.3128,0.10857142857142857,1012.0,682.0,397.0,234.0,276.0,428.0,495.0,291.0,474.0,185.0,7.0,246.0,122.0,10.0
3,43.7008,-7.6636,0.041189222669557136,5355.0,4905.0,4490.0,4644.0,4704.0,5034.0,5259.0,5043.0,5409.0,2339.0,33.0,3189.0,2031.0,9.0
4,43.63,-7.9478,0.0417022487902078,6616.0,6557.0,6293.0,6733.0,6860.0,7337.0,7680.0,7319.0,7890.0,3089.0,30.0,5334.0,3435.0,2500.0
5,43.5681,-8.1842,0.03849493487698987,7031.0,6652.0,6215.0,6644.0,6831.0,7158.0,7404.0,7176.0,7530.0,4021.0,149.0,5262.0,3863.0,928.0
6,43.4031,-4.9975,0.03001721685754922,6532.0,6485.0,6118.0,6479.0,6515.0,6760.0,7059.0,6880.0,7206.0,2931.0,87.0,5230.0,4049.0,315.0
7,43.2792,-4.9872,0.003050421675937556,8304.0,8170.0,7775.0,8334.0,8317.0,8480.0,8864.0,8385.0,8992.0,3379.0,39.0,4539.0,2909.0,743.0
8,43.262,-4.9986,0.0006539366989275438,7620.0,7559.0,7176.0,7641.0,7599.0,7801.0,8109.0,7651.0,8254.0,2769.0,31.0,4229.0,2687.0,2500.0
9,43.2606,-5.013,0.006929570366637269,7629.0,7702.0,7332.0,7882.0,7852.0,8069.0,8401.0,7992.0,8558.0,2916.0,33.0,4618.0,2996.0,2500.0
10,43.2642,-5.0205,0.012638436482084691,7541.0,7494.0,7128.0,7578.0,7553.0,7762.0,8071.0,7772.0,8194.0,2902.0,32.0,4327.0,2660.0,799.0
11,43.2025,-5.2114,0.020402236259348,6880.0,6708.0,6326.0,6746.0,6742.0,6981.0,7257.0,7027.0,7350.0,3014.0,36.0,4215.0,2627.0,1149.0
12,43.1942,-5.1564,0.01910828025477707,7435.0,7412.0,7030.0,7469.0,7446.0,7681.0,7960.0,7760.0,8076.0,3120.0,39.0,4858.0,3338.0,104.0
13,43.1458,-5.1283,0.013680297397769516,6672.0,6416.0,6155.0,6633.0,6728.0,7020.0,7319.0,6817.0,7468.0,3231.0,52.0,4641.0,3248.0,111.0
14,43.1033,-5.2164,0.01303538175046555,8595.0,8374.0,8093.0,8745.0,8850.0,9137.0,9451.0,8976.0,9579.0,4358.0,48.0,5126.0,3210.0,150.0
15,43.1106,-5.2217,0.029609690444145357,7063.0,7210.0,6821.0,7210.0,7058.0,7367.0,7681.0,7650.0,7741.0,3060.0,34.0,3697.0,2218.0,2500.0
16,43.1445,-5.2914,0.011977249916359987,7345.0,7243.0,6888.0,7383.0,7359.0,7635.0,7868.0,7562.0,7948.0,3378.0,50.0,4057.0,2453.0,316.0
17,43.1008,-5.3061,0.014056089851368619,7375.0,7153.0,6820.0,7330.0,7467.0,7718.0,8009.0,7539.0,8143.0,3524.0,40.0,4446.0,2808.0,204.0
18,43.1111,-5.3217,0.014177287698696835,7048.0,6909.0,6488.0,6884.0,6866.0,7062.0,7292.0,7082.0,7337.0,3068.0,38.0,3464.0,2051.0,147.0
19,43.1967,-5.4255,0.002297341647522153,8913.0,8792.0,8451.0,9120.0,9122.0,9309.0,9665.0,9162.0,9817.0,3982.0,46.0,5116.0,3308.0,1627.0
20,43.0597,-5.4025,0.020486662764445187,5970.0,5795.0,5503.0,5857.0,5891.0,6153.0,6374.0,6102.0,6487.0,2739.0,32.0,4246.0,2939.0,730.0
21,43.0008,-5.7658,0.15303593556381662,1125.0,1317.0,1286.0,1367.0,1367.0,1839.0,2025.0,1861.0,2043.0,907.0,13.0,1672.0,1186.0,1338.0
22,43.0336,-6.2383,0.16142735768903993,1218.0,1232.0,1045.0,987.0,997.0,1305.0,1479.0,1367.0,1691.0,933.0,76.0,1710.0,1309.0,2500.0
23,43.0617,-6.3233,0.18457943925233644,1093.0,780.0,519.0,349.0,388.0,446.0,497.0,507.0,508.0,358.0,44.0,447.0,247.0,2500.0
24,43.06,-6.3772,0.11513157894736842,1029.0,731.0,448.0,269.0,250.0,334.0,340.0,339.0,335.0,206.0,39.0,188.0,101.0,267.0
25,42.9453,-6.743,0.047800108636610536,1388.0,1237.0,1436.0,1753.0,1985.0,2182.0,2342.0,1929.0,2203.0,784.0,12.0,2637.0,1927.0,220.0
26,43.5136,-7.6697,0.03357801030766828,6280.0,6332.0,5935.0,6188.0,6145.0,6482.0,6731.0,6618.0,6863.0,2371.0,54.0,4259.0,2902.0,74.0
27,43.5361,-7.6461,0.006953944368445052,8678.0,8600.0,8168.0,8711.0,8772.0,8986.0,9247.0,8833.0,9326.0,4274.0,116.0,5207.0,3526.0,99.0
28,43.5947,-7.4186,0.19919737322145203,2391.0,2342.0,2179.0,2195.0,2410.0,3012.0,3398.0,3287.0,3658.0,1024.0,12.0,3052.0,2435.0,118.0
29,43.593,-7.4586,0.1535030175806875,3397.0,3284.0,3125.0,3226.0,3341.0,4117.0,4467.0,4396.0,4761.0,1485.0,16.0,4050.0,3460.0,56.0
30,43.4541,-7.4053,0.11876208897485493,3461.0,3257.0,3188.0,3417.0,3477.0,4173.0,4555.0,4338.0,4798.0,1527.0,20.0,4521.0,3658.0,131.0
31,43.4947,-7.6686,0.12132963988919668,4227.0,4055.0,3853.0,3965.0,4022.0,4786.0,5086.0,5060.0,5304.0,1895.0,55.0,3577.0,2640.0,172.0
32,40.7735,0.3335,0.11449371277299801,2501.0,2999.0,2714.0,2676.0,2728.0,3049.0,3268.0,3368.0,3346.0,750.0,14.0,3074.0,2181.0,7304.0
33,40.0285,-2.0416,0.1726295210166178,1425.0,1323.0,1479.0,2116.0,2360.0,2640.0,2962.0,2999.0,3355.0,1331.0,19.0,3700.0,2438.0,6554.0
34,40.4563,-4.8695,0.18100314998788467,1391.0,1362.0,1445.0,1690.0,1728.0,2157.0,2354.0,2437.0,2593.0,1211.0,19.0,3560.0,2628.0,850.0
